,True_Value,Predicted_Value
633,-3.333186449000001,-3.303953452157299
367,-3.4924325310000013,-3.5478133486605126
338,-3.084455379999998,-2.951082601439353
292,-2.561689616793104,-2.9926318708973567
72,-3.003632961333333,-2.8409029406870006
436,-2.862667769666667,-2.8921165831597992
598,-3.081254584166666,-3.0824692170552406
616,-3.537095413333334,-3.4983385486991034
512,-3.022396386000001,-3.0254582576647984
174,-3.304585120499998,-3.2976572857469524
363,-2.940710153793104,-3.0647443902810583
177,-2.219989547,-2.257699054306178
181,-2.842744940999999,-2.9030959235363136
81,-2.239542462499999,-2.465879894753207
118,-0.696853816833333,-0.9861247266072541
320,-3.223166932333333,-3.0463375829222317
361,-2.282841987666667,-2.255633635074777
155,-1.928895577,-1.9220313998738605
69,-2.973790204,-2.805754432450247
10,-2.9466176890000053,-3.0194214532366477
444,-2.733223787000001,-2.736973982825374
63,-3.477498397666666,-3.2961191378227523
340,-2.4978201220000003,-3.034047921388205
54,-3.178754561000029,-3.200566809802557
530,-3.1598895225,-3.240548806382865
281,-3.021668231999999,-3.003595898016748
554,-2.441260219999999,-2.542209401760611
268,0.049900824,-2.530770474203946
478,-2.447216226666667,-2.5456186254432716
31,-2.396649083,-2.4011845160418455
204,-2.2790038265,-2.3054205693394287
55,-2.800483741275862,-2.6432509405527425
305,-2.61723140975,-2.8277948017680723
409,-2.715598971,-2.760876436543975
546,-3.119232440000002,-3.2033313574911997
208,-2.848458345000002,-2.7341602229120636
109,-1.447628566500001,-1.2929904934101688
479,-2.8985133765000013,-2.9150240006160253
209,-2.422019406250001,-2.8038664914994396
446,-3.046044359499999,-3.0426809414565614
494,-2.417310401,-2.4340434881498365
302,-3.375748114750001,-3.3729527148979006
110,-1.7992110385000002,-1.5235438074924175
76,-2.970420415,-2.8462653995712337
236,-2.482626112,-2.6433143575302203
2,-3.481524188,-3.408406578559104
487,-2.9887438155,-2.9202939933633267
271,-2.642932968999999,-2.654580621280293
291,-2.75854759475,-2.7662228134902547
531,-3.393937694666667,-3.48509634904541
641,-3.692944157999999,-3.6316445522736305
90,-1.875530193586207,-1.9097109902580351
163,-2.5807554569310343,-2.6096472776365442
321,-2.7497591515,-2.8342044229053998
30,-2.160326880000001,-2.1359593900134035
326,-3.108728319000001,-3.116579482403509
176,-1.685291061,-1.7229613148489595
364,-3.35878035975,-3.3576864641061936
44,-2.887705085000001,-2.7020730402308324
101,-1.479716392449999,-1.261016543904401
78,-2.081831488999999,-2.2358924501407094
248,-1.614402738931034,-1.5494205099058278
341,-3.075945864,-3.1594933082987495
221,-2.891458178333335,-2.8840151584529066
167,-2.581433444000001,-2.5629824765992026
296,-3.0407220915,-2.9853069422895393
349,-3.3644894395,-3.340909111693124
284,-3.567626822499999,-3.538735721679014
211,-1.642345367666667,-0.6042881501329656
537,-2.98933727,-3.0084332577237363
65,-1.169650920000001,-2.302510216094772
344,-2.998014517750002,-2.8314385607352843
49,-2.489925657,-2.4650837461374797
642,-3.298078454999999,-3.2577247412337678
593,-2.646299637999999,-2.5596407601194766
39,-2.360876707,-2.2430722706571444
443,-3.540528917999999,-3.642564142875033
158,-1.410527672,-1.5899887551718361
6,-1.763969883,-1.831344975897054
256,-2.001695280275862,-1.7124441478591463
250,-1.666735623666667,-1.600533095709613
165,-1.6866642515,-2.5758791327664534
227,-2.467409856999999,-2.1281047180683688
503,-2.519313970666667,-2.4724114615361206
310,-3.210084799500001,-3.372080443324128
145,-2.358621026000001,-2.4508362695280703
86,-2.003383026000001,-2.1391210345603007
611,-2.576121714,-2.5627791292468762
264,-3.666247560499999,-3.653963448445654
599,-2.812069091333332,-2.8579383666025326
108,-2.765232774333333,-2.7425499237974433
551,-3.217619104000003,-3.2805713964877894
41,-2.313288763000001,-2.4539386569697434
407,-2.883642066666668,-2.8625184273204214
576,-3.356984649,-3.357148208231438
56,-2.587468271999999,-2.28186970466929
257,-2.482143209999999,-2.431036518274193
133,-1.4914406139999992,-1.4480910811621268
580,-3.141001103500001,-2.922351090923995
506,-2.858492841666666,-2.8596582096619887
265,-3.068558652,-3.0952053845755527
24,-2.844397452450001,-2.8180682521848173
231,-0.8391615275000011,-1.0204430242953024
132,-2.579209943999999,-2.623098913363763
428,-3.036579568166666,-3.056584506064765
213,-3.105869773666664,-2.9494097259638714
82,-2.890761752499999,-2.9318228831237025
477,-3.143236623666666,-3.0503124314423085
192,-1.671608068449999,-1.6275734103064325
77,-2.329470012999999,-2.117108336160593
518,-2.719912440166666,-2.6826348092078094
70,-2.5167960949999992,-2.5893465807322578
552,-3.660298673333334,-3.590164404254835
218,-1.898806424,-2.789094314635788
515,-2.992347762166667,-2.9395559088378302
131,-0.466947915,-0.3093890478001935
60,-2.149272639,-2.1503648133455178
528,-2.547548293,-2.5011284660699564
329,-3.1285257716666672,-3.0948876990595737
332,-3.479930908,-3.478824673454498
404,-3.325890110499999,-3.2908953210314493
615,-2.7599746185000003,-2.742466398490458
148,-2.13368859445,-2.180465152002127
421,-3.5129807365,-3.6107024141439705
370,-2.782053713250002,-2.696795794602104
486,-3.343293049333334,-3.314773893864875
215,-2.075499448499999,-2.316306174433276
609,-3.140314507500001,-3.269921380515629
135,-0.5760463775000011,-0.693884760585282
331,-2.559795649166667,-2.7769166117180553
