,True_Value,Predicted_Value
633,-3.333186449000001,-3.3452585379967728
367,-3.4924325310000013,-3.2965272015601506
338,-3.084455379999998,-2.899863993443022
292,-2.561689616793104,-2.1466914019834986
72,-3.003632961333333,-3.0617262446813833
436,-2.862667769666667,-3.001193880377079
598,-3.081254584166666,-3.0376940495483407
616,-3.537095413333334,-3.4981838124248297
512,-3.022396386000001,-2.9424198537583006
174,-3.304585120499998,-3.1031528203970473
363,-2.940710153793104,-2.8991311068903474
177,-2.219989547,-2.4322459340688782
181,-2.842744940999999,-3.2318099758372836
81,-2.239542462499999,-2.180749755200513
118,-0.696853816833333,-0.5468732949684614
320,-3.223166932333333,-2.9111825478025306
361,-2.282841987666667,-2.335286830180957
155,-1.928895577,-1.9724237927953023
69,-2.973790204,-2.951169140955792
10,-2.9466176890000053,-2.9183273056101937
444,-2.733223787000001,-2.5807759025437287
63,-3.477498397666666,-3.1054681616564537
340,-2.4978201220000003,-2.271511735689109
54,-3.178754561000029,-2.964686665891165
530,-3.1598895225,-3.120368347286701
281,-3.021668231999999,-3.1027952054847603
554,-2.441260219999999,-2.270909446765186
268,0.049900824,-0.31860917244083886
478,-2.447216226666667,-2.7334900228338315
31,-2.396649083,-2.3655706847337785
204,-2.2790038265,-2.239665636894962
55,-2.800483741275862,-3.054496544418554
305,-2.61723140975,-2.505729195496257
409,-2.715598971,-2.8841113299962378
546,-3.119232440000002,-3.3079663644130584
208,-2.848458345000002,-2.829931585882897
109,-1.447628566500001,-1.9226581396490188
479,-2.8985133765000013,-2.7716588066993495
209,-2.422019406250001,-2.9754240305213018
446,-3.046044359499999,-3.148283406918769
494,-2.417310401,-2.461377549698909
302,-3.375748114750001,-3.1433860439591053
110,-1.7992110385000002,-1.8090276288795413
76,-2.970420415,-3.0506150425963305
236,-2.482626112,-2.4233385863824872
2,-3.481524188,-3.4579451202593674
487,-2.9887438155,-2.7958395444595667
271,-2.642932968999999,-2.747011682818954
291,-2.75854759475,-2.8945242871280286
531,-3.393937694666667,-3.51373744091775
641,-3.692944157999999,-3.5157296181216475
90,-1.875530193586207,-2.331643037659448
163,-2.5807554569310343,-2.3569033131494868
321,-2.7497591515,-2.8579882584147147
30,-2.160326880000001,-2.162936371501145
326,-3.108728319000001,-2.897988600163988
176,-1.685291061,-1.7364481563761964
364,-3.35878035975,-3.2103988992963632
44,-2.887705085000001,-2.8938974412252074
101,-1.479716392449999,-1.9937610982186391
78,-2.081831488999999,-2.303681842368949
248,-1.614402738931034,-1.9106904343251427
341,-3.075945864,-3.013303265512376
221,-2.891458178333335,-3.0141280025630546
167,-2.581433444000001,-2.691108738807391
296,-3.0407220915,-2.880167504574918
349,-3.3644894395,-3.2633072754613894
284,-3.567626822499999,-3.4745477149267767
211,-1.642345367666667,-1.313077600446483
537,-2.98933727,-3.021875181167097
65,-1.169650920000001,-1.8191641615954273
344,-2.998014517750002,-2.92669605320288
49,-2.489925657,-2.430430193064004
642,-3.298078454999999,-3.2854939835653996
593,-2.646299637999999,-2.51043034006768
39,-2.360876707,-2.0938425274863377
443,-3.540528917999999,-3.4303416469459282
158,-1.410527672,-1.338061472302822
6,-1.763969883,-1.7914683123667188
256,-2.001695280275862,-2.011332318263889
250,-1.666735623666667,-1.78439092527631
165,-1.6866642515,-1.4875283465070948
227,-2.467409856999999,-2.171448113243708
503,-2.519313970666667,-2.714929639215526
310,-3.210084799500001,-3.106114908074048
145,-2.358621026000001,-2.350774265858307
86,-2.003383026000001,-1.9839758837368275
611,-2.576121714,-2.6090741606230474
264,-3.666247560499999,-3.435150650591634
599,-2.812069091333332,-2.708734080975996
108,-2.765232774333333,-2.8683586743930083
551,-3.217619104000003,-3.3270294541398036
41,-2.313288763000001,-2.271856578130746
407,-2.883642066666668,-2.807963552918844
576,-3.356984649,-3.347239008446956
56,-2.587468271999999,-2.284856042183609
257,-2.482143209999999,-2.012181878402269
133,-1.4914406139999992,-1.3073085021515825
580,-3.141001103500001,-3.1091026125476104
506,-2.858492841666666,-2.911777448039497
265,-3.068558652,-3.0344475533015913
24,-2.844397452450001,-2.8705641380494287
231,-0.8391615275000011,-0.3953186942986542
132,-2.579209943999999,-2.3639587630162007
428,-3.036579568166666,-3.0327351142634376
213,-3.105869773666664,-3.3246586844252053
82,-2.890761752499999,-2.9155718393115913
477,-3.143236623666666,-3.072444147412693
192,-1.671608068449999,-1.7550751380693872
77,-2.329470012999999,-2.3056246748346254
518,-2.719912440166666,-2.809368501923453
70,-2.5167960949999992,-2.587192974342575
552,-3.660298673333334,-3.557894588842498
218,-1.898806424,-2.7944426239722517
515,-2.992347762166667,-2.90948027219314
131,-0.466947915,-0.2767681144444847
60,-2.149272639,-2.051630900613832
528,-2.547548293,-2.576716700665491
329,-3.1285257716666672,-3.084837673700332
332,-3.479930908,-3.161086027353395
404,-3.325890110499999,-3.28165203274537
615,-2.7599746185000003,-2.6909830650878854
148,-2.13368859445,-2.181859882407494
421,-3.5129807365,-3.377704260350365
370,-2.782053713250002,-3.0316895313378396
486,-3.343293049333334,-3.270428477091759
215,-2.075499448499999,-2.3441766948694016
609,-3.140314507500001,-3.142309972140353
135,-0.5760463775000011,-0.827539342813095
331,-2.559795649166667,-2.5418601588272995
