,formula,band gap,band_gap_hse
0,Cu2SeO4,0.3242,2.086961030960083
1,Cd2BO4,1.2871,2.8504977226257324
2,Ca(BO2)2,6.092599999999999,7.695268154144287
3,Sr(BO2)2,6.396800000000001,7.524815082550049
4,Ba(AlS2)2,3.6551,4.577436923980713
5,Ca(BS2)2,3.0789,4.118282318115234
6,Ba(GaS2)2,2.9088000000000003,3.847353458404541
7,Li(NiO2)2,0.869599999999999,2.90535306930542
8,Li(CoO2)2,0.0,0.0
9,V2ZnS4,0.0,0.0
10,Li2SO4,3.9196,5.9556050300598145
11,V2CuS4,0.068699999999999,1.039255142211914
12,Mg(GaS2)2,1.6447999999999992,2.667057752609253
13,Ca(FeS2)2,0.0,0.0
14,Mg(FeS2)2,0.0,0.0
15,Mg(WS2)2,0.1589,1.049870252609253
16,K(CrS2)2,0.0,0.0
17,Cs(CrS2)2,0.0,0.0
18,Mg(MoS2)2,0.0,0.0
19,Rb(CrS2)2,0.0,0.0
20,Gd2MgS4,1.6184,2.6377525329589844
21,Cr2AgS4,0.0,0.0
22,Na(CrS2)2,0.0,0.0
23,Pm2MgS4,1.5195999999999992,2.48488450050354
24,Nd2MgS4,0.000199999999999,1.00748610496521
25,Zn(CoS2)2,0.7452000000000001,1.7673437595367432
26,Dy2MgS4,1.9295,2.958963394165039
27,Ho2MgS4,1.9659,3.0060060024261475
28,Mg(AlS2)2,2.5023,3.6044344902038574
29,Ca(TiS2)2,0.0,0.0
30,V2ZnS4,0.0,0.0
31,Zn(FeS2)2,0.0,0.0
32,Zn(NiS2)2,0.0,0.0
33,Mg(ScS2)2,1.5651000000000002,2.5767486095428467
34,Mg(TiS2)2,0.0,0.0
35,Mg(VS2)2,0.0,0.0
36,Lu2MnS4,0.0,0.0
37,Ti2ZnS4,0.0,0.0
38,Ca(CoS2)2,0.9638999999999992,1.9564961194992065
39,Ca(CrS2)2,1.386099999999999,2.4061014652252197
40,Mg(MnS2)2,0.0,0.0
41,Lu2MgS4,1.9819,2.938366413116455
42,Lu2FeS4,0.0,0.0
43,Zr2CuS4,0.0,0.0
44,Ce2MgS4,0.0,0.0
45,Mg(CrS2)2,0.9995,2.0788042545318604
46,Mg(CoS2)2,0.7916999999999991,1.814047932624817
47,Ca(MnS2)2,0.0,0.0
48,Ca(VS2)2,0.0,0.0
49,Tm2MgS4,2.0584,3.0906660556793213
50,Sm2MgS4,1.7418,2.721925735473633
51,Eu2MgS4,0.0,0.0
52,Li(NiS2)2,0.0,0.0
53,Li(CrS2)2,0.0,0.0
54,Li(TiS2)2,0.0,0.0
55,Li(MnS2)2,0.0,0.0
56,Al(CoS2)2,0.0,0.0
57,Sc2ZnS4,0.5768,1.5567808151245117
58,Li(FeS2)2,0.0,0.0
59,Y2ZnS4,0.671899999999999,1.6308341026306152
60,Mg2SnO4,1.903,3.5278103351593018
61,Be(CoO2)2,0.0,0.0
62,LiZr2O4,0.0,0.0
63,MgIn2O4,1.999299999999999,3.638474941253662
64,Al(NiO2)2,0.0,0.0
65,Fe2CuO4,0.0,0.0
66,Mg2FeO4,0.0,0.0
67,AlCr2O4,0.0,0.0
68,Zn(NiO2)2,0.0,0.0
69,Er2MgS4,2.0129,3.063382148742676
70,Y2MgS4,0.2525,1.2058520317077637
71,Fe(RhS2)2,0.0,0.0
72,Pr2MgS4,1.5962,2.4809279441833496
73,La2MgS4,1.7443,2.6637980937957764
74,Tb2MgS4,1.8836,2.928771495819092
75,Cu(IrS2)2,0.0,0.0
76,In2CuS4,0.0,0.0
77,Ni(RhS2)2,0.0,0.0
78,Mn2ZnS4,0.0,0.0
79,Zn(GaS2)2,1.534399999999998,2.568683624267578
80,Al2HgS4,1.304899999999999,2.3498668670654297
81,Mn(AlS2)2,0.0,0.0
82,Cr2GaS4,0.0,0.0
83,Co(RhS2)2,0.038199999999999,1.1195566654205322
84,Li(CoS2)2,0.0,0.0
85,Sc2CdS4,0.9581,1.9564353227615356
86,Fe2SiS4,0.0,0.0
87,Ca2SnS4,9.999999999976698e-05,0.9632209539413452
88,Cr(InS2)2,0.0,0.0
89,Cu(RhS2)2,0.0,0.0
90,Mg(InS2)2,1.764399999999999,2.784512519836426
91,Dy2CdS4,1.0877,2.05417537689209
92,Tm2CdSe4,0.653,1.4721850156784058
93,Pr2MgSe4,1.0331,1.780128002166748
94,Pm2MgSe4,1.0956,1.9166066646575928
95,La2MgSe4,1.3291,2.128852605819702
96,Tb2MgSe4,1.2477,2.1362314224243164
97,Nd2MgSe4,1.068899999999999,1.9511147737503052
98,Eu2MgSe4,0.0,0.0
99,Sc2MnSe4,0.0,0.0
100,Sm2MgSe4,1.1339,1.9804209470748901
101,Lu2CdSe4,0.7033,1.4844605922698975
102,Y2CdSe4,0.610399999999999,1.4594086408615112
103,Lu2MnSe4,0.7626000000000001,1.5307177305221558
104,In2CoSe4,0.0,0.0
105,Sc2CdSe4,0.485,1.3760790824890137
106,Mn2ZnSe4,0.0,0.0
107,Er2MgSe4,1.3296,2.2357747554779053
108,Dy2MgSe4,1.287399999999999,2.180875778198242
109,Al2ZnSe4,1.378899999999999,2.36624813079834
110,Tm2MgSe4,1.4057,2.307194471359253
111,Yb2MgSe4,0.0,0.0
112,Li2ZnCl4,4.1422,5.606468677520752
113,Cr2CuTe4,0.0,0.0
114,Cr2AgTe4,0.0,0.0
115,Mn2ZnTe4,0.0,0.0
116,Dy2CdTe4,0.0,0.0
117,Mg(CrSe2)2,0.906099999999999,1.852660059928894
118,Yb2CdSe4,0.0,0.0
119,Cu(RhSe2)2,0.0,0.0
120,Dy2CdSe4,0.5809000000000001,1.3774360418319702
121,Zn(CrSe2)2,0.038899999999999,1.0293967723846436
122,Ho2CdSe4,0.603699999999999,1.4145126342773438
123,Cr2CuSe4,0.0,0.0
124,Al2CdSe4,1.261099999999999,2.217207908630371
125,Cd(InSe2)2,0.060699999999999,0.9209245443344116
126,Cr2CdSe4,0.0,0.0
127,Y2MgSe4,1.3007,2.2201452255249023
128,Cr2HgSe4,0.0,0.0
129,Ho2MgSe4,1.3026,2.1981706619262695
130,Al2HgSe4,0.382099999999999,1.2512418031692505
131,Sc2ZnSe4,0.2349,1.1296212673187256
132,Y2CdS4,1.1109,2.114715337753296
133,Er2CdS4,1.1479,2.141237735748291
134,Cr2CuS4,0.0,0.0
135,Co2NiS4,0.0,0.0
136,Mn(InS2)2,0.0,0.0
137,In2HgS4,0.3467,1.2436292171478271
138,In2FeS4,0.0,0.0
139,Sc2MnS4,0.0,0.0
140,In2CoS4,0.0,0.0
141,Cr2CoS4,0.0,0.0
142,In2NiS4,0.0,0.0
143,Zn(InS2)2,1.1222,2.1053826808929443
144,Ga2NiO4,0.0,0.0
145,Sc2FeS4,0.0,0.0
146,Mg(NiS2)2,0.0,0.0
147,Mn(CrS2)2,0.0,0.0
148,Cr2FeS4,0.0,0.0
149,Ti2CuS4,0.0,0.0
150,Cr2CdS4,0.0,0.0
151,Co2CuS4,0.0,0.0
152,Lu2MgSe4,1.476999999999999,2.319587469100952
153,Mg(ScSe2)2,1.0918,1.9849188327789307
154,Mg(InSe2)2,9.999999999976698e-05,0.833660900592804
155,Y2ZnSe4,0.239,1.0888011455535889
156,Zn(InSe2)2,0.698599999999999,1.5052131414413452
157,Al2CdS4,2.462299999999999,3.5851387977600098
